delivery_id,order_id,personnel_id,pickup_time,estimated_delivery_time,actual_delivery_time,delivery_status,distance_km,delivery_rating,customer_feedback
95,95,49,2026-04-02 12:51:44,2026-04-02 13:51:44,,in_transit,11.61,3.97,Great service!
96,96,27,2026-02-24 13:18:44,2026-02-24 13:51:44,2026-02-24 14:21:44,assigned,4.38,3.29,Good experience
97,97,23,2026-02-19 12:57:44,2026-02-19 14:15:44,2026-02-19 14:09:44,in_transit,12.46,4.33,Great service!
98,98,36,2026-03-07 12:58:44,2026-03-07 13:31:44,2026-03-07 13:46:44,failed,21.47,3.85,Great service!
99,99,2,2026-02-05 13:15:44,2026-02-05 14:18:44,2026-02-05 14:27:44,delivered,23.31,4.46,Great service!
100,100,30,2026-03-09 13:03:44,2026-03-09 13:36:44,2026-03-09 13:44:44,pending,17.24,4.12,
101,101,45,2026-04-10 13:00:44,2026-04-10 13:55:44,2026-04-10 13:48:44,pending,16.27,3.85,
102,102,21,2026-02-02 12:55:44,2026-02-02 13:46:44,2026-02-02 14:14:44,picked_up,18.7,,
103,103,36,2026-01-23 13:27:44,2026-01-23 14:06:44,2026-01-23 14:36:44,delivered,13.35,4.8,
104,104,36,2026-02-20 12:56:44,2026-02-20 13:57:44,2026-02-20 14:18:44,in_transit,3.19,4.42,
105,105,23,2026-01-23 13:24:44,2026-01-23 14:20:44,2026-01-23 14:36:44,delivered,13.66,3.6,
106,106,50,2026-02-07 12:55:44,2026-02-07 14:20:44,2026-02-07 14:07:44,pending,15.7,4.24,Great service!
107,107,38,2026-01-20 12:50:44,2026-01-20 14:06:44,,pending,13.25,3.57,Good experience
108,108,47,2026-01-24 13:23:44,2026-01-24 14:16:44,2026-01-24 14:37:44,picked_up,7.75,3.77,
109,109,27,2026-01-22 13:13:44,2026-01-22 13:34:44,2026-01-22 13:47:44,in_transit,7.24,,
110,110,21,2026-04-17 13:10:44,2026-04-17 14:34:44,2026-04-17 15:04:44,picked_up,11.51,4.62,
111,111,19,2026-04-06 13:07:44,2026-04-06 14:28:44,2026-04-06 14:22:44,picked_up,10.76,4.92,Fast delivery
112,112,33,2026-03-09 13:04:44,2026-03-09 13:51:44,2026-03-09 14:14:44,delivered,15.46,3.43,Fast delivery
113,113,26,2026-02-09 12:46:44,2026-02-09 13:06:44,2026-02-09 13:08:44,pending,18.54,4.54,Great service!
114,114,45,2026-03-11 13:29:44,2026-03-11 14:09:44,2026-03-11 14:02:44,failed,4.34,3.27,Great service!
115,115,2,2026-02-02 13:17:44,2026-02-02 13:51:44,2026-02-02 13:48:44,pending,11.08,4.91,Good experience
116,116,48,2026-02-16 12:50:44,2026-02-16 13:20:44,2026-02-16 13:33:44,pending,11.16,3.64,Good experience
117,117,42,2026-04-06 13:24:44,2026-04-06 13:57:44,,assigned,20.09,,
118,118,6,2026-02-01 13:02:44,2026-02-01 13:25:44,2026-02-01 13:47:44,delivered,4.38,3.39,
119,119,19,2026-02-26 13:00:44,2026-02-26 14:18:44,2026-02-26 14:03:44,delivered,6.48,4.91,
120,120,14,2026-02-26 13:16:44,2026-02-26 14:36:44,2026-02-26 14:24:44,delivered,7.07,4.61,Fast delivery
121,121,30,2026-04-19 13:07:44,2026-04-19 13:44:44,2026-04-19 13:49:44,delivered,20.76,4.32,Fast delivery
122,122,39,2026-03-07 13:03:44,2026-03-07 13:54:44,2026-03-07 14:07:44,failed,20.02,4.47,
123,123,7,2026-03-25 13:07:44,2026-03-25 14:05:44,2026-03-25 13:58:44,pending,19.58,4.91,
124,124,46,2026-02-09 13:12:44,2026-02-09 14:39:44,2026-02-09 14:41:44,failed,9.66,3.34,Fast delivery
125,125,38,2026-04-13 12:59:44,2026-04-13 13:58:44,2026-04-13 14:27:44,picked_up,20.77,3.08,
126,126,44,2026-02-03 13:15:44,2026-02-03 14:21:44,2026-02-03 14:47:44,picked_up,14.95,,Good experience
127,127,8,2026-03-27 13:26:44,2026-03-27 14:29:44,2026-03-27 14:59:44,failed,7.87,3.16,Good experience
128,128,42,2026-02-08 13:25:44,2026-02-08 14:53:44,2026-02-08 15:07:44,delivered,17.71,4.23,Great service!
129,129,32,2026-04-16 13:14:44,2026-04-16 13:46:44,2026-04-16 13:43:44,assigned,22.01,3.76,Good experience
130,130,42,2026-04-05 13:09:44,2026-04-05 14:34:44,2026-04-05 14:23:44,in_transit,18.5,,Great service!
131,131,7,2026-04-05 13:17:44,2026-04-05 14:05:44,2026-04-05 14:35:44,assigned,19.28,4.65,Good experience
132,132,23,2026-01-31 13:17:44,2026-01-31 13:42:44,,delivered,16.43,3.99,
133,133,26,2026-02-07 12:49:44,2026-02-07 13:28:44,2026-02-07 13:47:44,failed,4.2,4.85,
134,134,3,2026-02-26 12:51:44,2026-02-26 14:17:44,2026-02-26 14:25:44,in_transit,14.23,,Great service!
135,135,27,2026-03-15 13:09:44,2026-03-15 14:18:44,2026-03-15 14:46:44,delivered,16.46,,Great service!
136,136,36,2026-04-17 12:49:44,2026-04-17 14:15:44,2026-04-17 14:09:44,in_transit,18.83,3.88,Great service!
137,137,32,2026-04-05 12:48:44,2026-04-05 13:56:44,2026-04-05 14:00:44,pending,14.25,3.51,Great service!
138,138,27,2026-02-15 13:22:44,2026-02-15 13:52:44,2026-02-15 14:18:44,in_transit,18.14,4.62,Fast delivery
139,139,35,2026-02-08 13:30:44,2026-02-08 14:36:44,2026-02-08 15:02:44,picked_up,22.44,3.29,
140,140,3,2026-03-20 13:08:44,2026-03-20 13:33:44,2026-03-20 13:19:44,delivered,20.2,,
141,141,28,2026-03-31 13:10:44,2026-03-31 14:13:44,2026-03-31 14:36:44,in_transit,9.76,4.55,Great service!
142,142,14,2026-03-25 13:31:44,2026-03-25 14:14:44,2026-03-25 14:10:44,in_transit,2.2,4.4,Great service!
143,143,9,2026-04-17 12:58:44,2026-04-17 13:56:44,2026-04-17 14:09:44,in_transit,15.33,3.31,
144,144,45,2026-04-09 13:07:44,2026-04-09 13:43:44,2026-04-09 14:04:44,delivered,22.0,,Fast delivery
145,145,34,2026-01-23 13:26:44,2026-01-23 13:50:44,2026-01-23 14:07:44,picked_up,14.5,4.12,
146,146,43,2026-03-10 13:13:44,2026-03-10 14:07:44,2026-03-10 14:30:44,pending,23.24,3.17,
147,147,9,2026-03-27 13:09:44,2026-03-27 14:08:44,2026-03-27 14:23:44,assigned,6.92,3.61,Good experience
148,148,38,2026-04-17 13:30:44,2026-04-17 14:26:44,2026-04-17 14:11:44,picked_up,6.4,4.86,
149,149,27,2026-01-22 13:26:44,2026-01-22 14:41:44,2026-01-22 14:52:44,in_transit,21.8,,Great service!
150,150,38,2026-04-14 13:29:44,2026-04-14 14:49:44,2026-04-14 14:40:44,pending,7.17,4.36,
151,151,45,2026-04-08 13:13:44,2026-04-08 14:19:44,,pending,7.13,3.06,
152,152,34,2026-03-06 13:28:44,2026-03-06 14:53:44,2026-03-06 15:08:44,in_transit,17.96,3.62,
153,153,24,2026-02-02 13:12:44,2026-02-02 14:15:44,2026-02-02 14:12:44,pending,13.46,4.73,Good experience
154,154,5,2026-03-27 13:18:44,2026-03-27 13:54:44,2026-03-27 13:48:44,pending,12.21,,
155,155,50,2026-01-31 12:59:44,2026-01-31 13:35:44,2026-01-31 14:01:44,pending,2.49,4.2,Good experience
156,156,41,2026-04-17 13:05:44,2026-04-17 13:25:44,2026-04-17 13:43:44,in_transit,7.81,3.44,Great service!
157,157,24,2026-03-29 13:12:44,2026-03-29 14:28:44,2026-03-29 14:14:44,in_transit,6.64,3.23,Great service!
158,158,25,2026-01-31 12:49:44,2026-01-31 13:31:44,2026-01-31 13:27:44,in_transit,20.54,,
159,159,19,2026-04-01 13:25:44,2026-04-01 14:19:44,2026-04-01 14:36:44,in_transit,3.84,3.11,Good experience
160,160,37,2026-02-16 13:18:44,2026-02-16 13:57:44,2026-02-16 13:55:44,picked_up,6.45,3.25,
161,161,41,2026-02-25 12:50:44,2026-02-25 14:15:44,2026-02-25 14:13:44,pending,14.76,4.78,Fast delivery
162,162,40,2026-02-20 13:06:44,2026-02-20 13:56:44,2026-02-20 13:43:44,assigned,23.6,3.52,Fast delivery
163,163,10,2026-03-16 13:20:44,2026-03-16 13:52:44,,picked_up,22.93,,Good experience
164,164,27,2026-01-20 12:54:44,2026-01-20 13:56:44,2026-01-20 13:43:44,delivered,14.78,3.36,Great service!
165,165,43,2026-02-20 13:30:44,2026-02-20 14:25:44,2026-02-20 14:33:44,failed,14.84,4.77,
166,166,32,2026-01-26 13:05:44,2026-01-26 14:17:44,2026-01-26 14:37:44,pending,8.35,3.16,
167,167,46,2026-01-30 13:09:44,2026-01-30 13:44:44,2026-01-30 13:55:44,picked_up,9.21,4.54,Good experience
168,168,9,2026-04-12 12:52:44,2026-04-12 13:25:44,2026-04-12 13:53:44,in_transit,7.76,4.32,
169,169,39,2026-02-11 13:14:44,2026-02-11 14:42:44,2026-02-11 15:01:44,in_transit,3.23,3.47,Good experience
170,170,11,2026-03-26 13:21:44,2026-03-26 14:11:44,2026-03-26 14:35:44,assigned,6.14,,
171,171,10,2026-02-07 12:54:44,2026-02-07 13:29:44,2026-02-07 13:36:44,failed,20.98,3.24,
172,172,11,2026-02-07 13:22:44,2026-02-07 14:12:44,2026-02-07 14:05:44,pending,12.1,4.03,
173,173,39,2026-03-24 13:11:44,2026-03-24 14:10:44,2026-03-24 14:01:44,failed,13.44,,
174,174,8,2026-03-27 13:11:44,2026-03-27 13:32:44,2026-03-27 13:47:44,delivered,18.29,3.08,
175,175,17,2026-03-31 13:14:44,2026-03-31 14:41:44,2026-03-31 15:11:44,picked_up,12.9,4.98,Fast delivery
176,176,44,2026-03-17 13:28:44,2026-03-17 14:47:44,2026-03-17 14:59:44,failed,8.5,4.35,Good experience
177,177,12,2026-01-29 12:57:44,2026-01-29 13:43:44,2026-01-29 13:39:44,delivered,8.89,4.33,
178,178,2,2026-04-08 12:48:44,2026-04-08 13:14:44,2026-04-08 13:21:44,in_transit,12.06,3.75,Fast delivery
179,179,45,2026-03-25 12:59:44,2026-03-25 14:08:44,2026-03-25 14:27:44,delivered,14.1,,
180,180,17,2026-04-12 12:48:44,2026-04-12 14:10:44,2026-04-12 14:08:44,assigned,16.25,3.72,Great service!
181,181,48,2026-03-10 13:17:44,2026-03-10 14:04:44,2026-03-10 13:57:44,in_transit,6.57,3.3,Great service!
182,182,9,2026-04-18 13:23:44,2026-04-18 14:39:44,2026-04-18 14:33:44,assigned,12.97,3.19,Great service!
183,183,42,2026-03-16 13:05:44,2026-03-16 13:45:44,2026-03-16 14:12:44,picked_up,24.4,4.79,
184,184,19,2026-03-03 13:29:44,2026-03-03 14:43:44,2026-03-03 14:28:44,failed,24.68,,
185,185,32,2026-03-26 12:58:44,2026-03-26 13:44:44,2026-03-26 13:29:44,in_transit,18.9,4.01,Great service!
186,186,15,2026-03-05 12:49:44,2026-03-05 13:46:44,2026-03-05 13:53:44,failed,20.54,4.79,Good experience
187,187,24,2026-02-09 12:54:44,2026-02-09 13:52:44,2026-02-09 14:11:44,failed,13.77,,Great service!
188,188,38,2026-02-19 13:15:44,2026-02-19 14:26:44,2026-02-19 14:50:44,picked_up,13.79,,Fast delivery
189,189,49,2026-03-12 12:55:44,2026-03-12 13:59:44,,delivered,11.68,,Fast delivery
190,190,36,2026-03-05 12:56:44,2026-03-05 14:25:44,2026-03-05 14:54:44,picked_up,22.81,4.9,Great service!
191,191,39,2026-02-02 13:27:44,2026-02-02 14:28:44,2026-02-02 14:27:44,picked_up,9.97,,
192,192,11,2026-04-09 12:59:44,2026-04-09 14:26:44,2026-04-09 14:34:44,in_transit,22.0,,
193,193,39,2026-03-12 12:49:44,2026-03-12 13:56:44,2026-03-12 14:03:44,failed,15.07,3.37,
194,194,10,2026-01-27 13:03:44,2026-01-27 13:36:44,2026-01-27 13:36:44,in_transit,17.89,,Good experience
195,195,21,2026-03-26 13:20:44,2026-03-26 14:07:44,2026-03-26 14:16:44,picked_up,11.49,3.71,Fast delivery
196,196,26,2026-01-31 12:46:44,2026-01-31 13:34:44,2026-01-31 13:41:44,delivered,13.34,4.25,Great service!
197,197,43,2026-02-05 12:50:44,2026-02-05 14:11:44,2026-02-05 14:21:44,failed,9.79,3.97,Good experience
198,198,1,2026-04-20 13:02:44,2026-04-20 13:34:44,,assigned,10.46,3.76,
199,199,6,2026-02-01 13:16:44,2026-02-01 13:39:44,2026-02-01 13:35:44,delivered,18.53,4.13,
200,200,45,2026-04-03 13:31:44,2026-04-03 14:46:44,2026-04-03 14:57:44,in_transit,7.0,,
201,201,14,2026-01-31 13:16:44,2026-01-31 14:38:44,2026-01-31 14:29:44,pending,20.0,4.27,Fast delivery
202,202,14,2026-01-21 12:50:44,2026-01-21 13:55:44,2026-01-21 13:45:44,assigned,5.35,3.19,Fast delivery
203,203,16,2026-04-04 13:26:44,2026-04-04 14:10:44,2026-04-04 14:21:44,assigned,13.08,,
204,204,3,2026-03-16 13:20:44,2026-03-16 14:31:44,2026-03-16 14:19:44,delivered,4.55,,Great service!
205,205,19,2026-03-23 12:50:44,2026-03-23 14:01:44,2026-03-23 14:27:44,failed,12.49,4.73,Good experience
206,206,39,2026-03-11 12:56:44,2026-03-11 13:48:44,2026-03-11 14:07:44,assigned,16.56,4.26,Good experience
207,207,33,2026-04-19 13:31:44,2026-04-19 14:29:44,2026-04-19 14:57:44,picked_up,4.59,,
208,208,30,2026-01-30 12:59:44,2026-01-30 13:31:44,2026-01-30 13:35:44,picked_up,17.59,4.05,Fast delivery
209,209,32,2026-03-29 12:51:44,2026-03-29 14:11:44,2026-03-29 14:15:44,assigned,18.95,4.25,Fast delivery
210,210,19,2026-04-04 12:53:44,2026-04-04 14:18:44,2026-04-04 14:16:44,delivered,14.18,3.59,
211,211,47,2026-02-06 13:08:44,2026-02-06 14:14:44,2026-02-06 14:14:44,failed,18.52,3.74,Fast delivery
212,212,49,2026-02-19 12:46:44,2026-02-19 13:49:44,2026-02-19 14:11:44,assigned,13.91,3.28,
213,213,46,2026-03-01 13:12:44,2026-03-01 13:47:44,2026-03-01 13:46:44,pending,11.57,3.45,
214,214,22,2026-04-18 13:24:44,2026-04-18 14:01:44,,picked_up,20.76,,Great service!
215,215,48,2026-02-12 13:25:44,2026-02-12 13:49:44,,in_transit,12.69,3.64,Great service!
216,216,12,2026-03-25 13:31:44,2026-03-25 15:01:44,2026-03-25 15:10:44,in_transit,22.99,3.03,Fast delivery
217,217,48,2026-01-26 13:18:44,2026-01-26 13:46:44,2026-01-26 13:43:44,delivered,22.69,,
218,218,12,2026-04-03 12:53:44,2026-04-03 14:21:44,2026-04-03 14:50:44,in_transit,15.93,3.12,Good experience
219,219,18,2026-01-31 12:54:44,2026-01-31 14:16:44,2026-01-31 14:15:44,delivered,16.03,3.77,Good experience
220,220,12,2026-01-21 13:21:44,2026-01-21 14:49:44,2026-01-21 15:11:44,delivered,10.19,3.54,Great service!
221,221,41,2026-04-11 13:07:44,2026-04-11 13:28:44,,assigned,21.04,4.44,
222,222,48,2026-03-03 12:59:44,2026-03-03 14:03:44,2026-03-03 14:26:44,picked_up,12.45,3.69,
223,223,13,2026-03-17 13:31:44,2026-03-17 14:13:44,2026-03-17 14:20:44,failed,15.49,4.04,Good experience
224,224,4,2026-03-17 12:55:44,2026-03-17 13:48:44,2026-03-17 13:38:44,assigned,2.38,4.66,
225,225,15,2026-02-21 12:51:44,2026-02-21 13:55:44,2026-02-21 14:06:44,pending,14.03,,Fast delivery
226,226,42,2026-04-09 13:08:44,2026-04-09 14:31:44,2026-04-09 14:40:44,delivered,6.7,,Good experience
227,227,43,2026-02-25 12:58:44,2026-02-25 13:42:44,2026-02-25 13:29:44,picked_up,5.74,,Good experience
228,228,50,2026-02-02 13:24:44,2026-02-02 14:15:44,2026-02-02 14:05:44,picked_up,15.2,4.08,Fast delivery
229,229,3,2026-04-03 13:22:44,2026-04-03 14:20:44,2026-04-03 14:22:44,assigned,22.19,,
230,230,47,2026-01-28 13:13:44,2026-01-28 14:28:44,2026-01-28 14:58:44,failed,10.55,,Good experience
231,231,38,2026-02-14 12:56:44,2026-02-14 13:39:44,2026-02-14 13:41:44,delivered,5.72,4.2,
232,232,21,2026-03-28 13:12:44,2026-03-28 13:42:44,2026-03-28 13:56:44,picked_up,20.75,,
233,233,44,2026-02-18 13:18:44,2026-02-18 13:51:44,,failed,7.24,,
234,234,38,2026-02-15 13:07:44,2026-02-15 14:37:44,2026-02-15 15:02:44,failed,4.59,3.51,Great service!
235,235,47,2026-02-18 13:00:44,2026-02-18 13:58:44,2026-02-18 14:23:44,picked_up,15.24,,Great service!
